r n t TIP Rezultat
2 50 1 1 False
2 50 1 1 False
2 50 1 2 False
2 50 1 2 False
2 50 1 1 False
2 50 1 2 False
2 50 1 2 False
2 50 1 2 False
2 50 1 1 False
2 50 1 2 False
3 50 1 2 False
3 50 1 2 False
3 50 1 1 False
3 50 2 1 False
3 50 2 2 False
3 50 1 1 False
3 50 1 2 False
3 50 1 2 False
3 50 2 1 False
3 50 1 2 False
4 50 2 2 False
4 50 2 2 False
4 50 1 2 True
4 50 2 1 False
4 50 1 2 True
4 50 3 1 Undefined
4 50 2 2 True
4 50 3 2 False
4 50 2 2 False
4 50 2 2 False
5 50 1 2 False
5 50 3 1 Undefined
5 50 4 2 Undefined
5 50 3 2 Undefined
5 50 4 1 Undefined
5 50 4 1 Undefined
5 50 4 2 Undefined
5 50 3 2 Undefined
5 50 1 2 False
5 50 1 1 False
6 50 5 1 Undefined
6 50 1 2 Undefined
6 50 3 2 Undefined
6 50 1 1 Undefined
6 50 1 1 True
6 50 4 1 Undefined
6 50 5 1 Undefined
6 50 2 2 Undefined
6 50 1 2 False
6 50 3 1 Undefined
7 50 5 2 Undefined
7 50 2 1 Undefined
7 50 5 2 Undefined
7 50 1 2 Undefined
7 50 4 1 Undefined
7 50 3 1 Undefined
7 50 6 2 Undefined
7 50 6 2 Undefined
7 50 6 1 Undefined
7 50 4 2 Undefined
8 50 4 1 Undefined
8 50 4 2 Undefined
8 50 7 2 Undefined
8 50 3 2 Undefined
8 50 3 1 Undefined
8 50 2 2 Undefined
8 50 4 1 Undefined
8 50 3 2 Undefined
8 50 4 1 Undefined
8 50 4 2 Undefined
9 50 4 1 Undefined
9 50 7 2 Undefined
9 50 8 2 Undefined
9 50 1 1 Undefined
9 50 5 1 Undefined
9 50 7 2 Undefined
9 50 6 1 Undefined
9 50 5 2 Undefined
9 50 8 1 Undefined
9 50 5 2 Undefined
10 50 8 2 Undefined
10 50 7 2 Undefined
10 50 3 1 Undefined
10 50 7 1 Undefined
10 50 5 2 Undefined
10 50 2 1 Undefined
10 50 7 2 Undefined
10 50 3 1 Undefined
10 50 8 2 Undefined
10 50 6 1 Undefined
11 50 3 1 Undefined
11 50 9 1 Undefined
11 50 4 2 Undefined
11 50 4 1 Undefined
11 50 9 2 Undefined
11 50 3 1 Undefined
11 50 8 1 Undefined
11 50 5 2 Undefined
11 50 6 2 Undefined
11 50 9 1 Undefined
12 50 8 1 Undefined
12 50 4 2 Undefined
12 50 10 1 Undefined
12 50 3 1 Undefined
12 50 4 1 Undefined
12 50 7 2 Undefined
12 50 9 2 Undefined
12 50 8 2 Undefined
12 50 5 1 Undefined
12 50 8 1 Undefined
13 50 7 2 Undefined
13 50 12 2 Undefined
13 50 12 2 Undefined
13 50 2 2 Undefined
13 50 12 1 Undefined
13 50 10 2 Undefined
13 50 12 1 Undefined
13 50 5 2 Undefined
13 50 2 2 Undefined
13 50 3 2 Undefined
14 50 2 2 Undefined
14 50 2 1 Undefined
14 50 7 1 Undefined
14 50 3 2 Undefined
14 50 5 2 Undefined
14 50 3 1 Undefined
14 50 9 2 Undefined
14 50 3 2 Undefined
14 50 11 2 Undefined
14 50 1 2 Undefined
15 50 14 1 Undefined
15 50 5 2 Undefined
15 50 12 1 Undefined
15 50 14 2 Undefined
15 50 2 2 Undefined
15 50 3 2 Undefined
15 50 3 1 Undefined
15 50 13 2 Undefined
15 50 6 2 Undefined
15 50 1 1 Undefined
16 50 10 2 Undefined
16 50 3 1 Undefined
16 50 2 2 Undefined
16 50 5 1 Undefined
16 50 5 2 Undefined
16 50 10 2 Undefined
16 50 5 2 Undefined
16 50 2 1 Undefined
16 50 10 2 Undefined
16 50 8 1 Undefined
17 50 3 1 Undefined
17 50 7 2 Undefined
17 50 15 2 Undefined
17 50 6 2 Undefined
17 50 16 1 Undefined
17 50 12 2 Undefined
17 50 10 2 Undefined
17 50 12 2 Undefined
17 50 12 1 Undefined
17 50 13 2 Undefined
18 50 16 2 Undefined
18 50 4 1 Undefined
18 50 2 1 Undefined
18 50 3 2 Undefined
18 50 15 2 Undefined
18 50 9 2 Undefined
18 50 8 1 Undefined
18 50 3 2 Undefined
18 50 3 2 Undefined
18 50 11 2 Undefined
19 50 1 2 Undefined
19 50 18 1 Undefined
19 50 11 2 Undefined
19 50 10 1 Undefined
19 50 7 1 Undefined
19 50 5 1 Undefined
19 50 4 2 Undefined
19 50 2 1 Undefined
19 50 18 2 Undefined
2 50 1 2 False
2 50 1 2 False
2 50 1 1 False
2 50 1 1 False
2 50 1 2 False
2 50 1 1 False
2 50 1 1 False
2 50 1 2 False
2 50 1 2 False
2 50 1 2 False
3 50 2 2 False
3 50 1 1 False
3 50 1 1 False
3 50 1 1 False
3 50 2 2 False
3 50 1 1 False
3 50 2 2 False
3 50 1 1 False
3 50 1 1 False
3 50 1 1 False
4 50 2 2 False
4 50 2 1 False
4 50 3 2 Undefined
4 50 3 1 Undefined
4 50 1 1 False
4 50 3 2 Undefined
4 50 1 2 False
4 50 1 1 True
4 50 2 2 False
4 50 1 2 False
7 50 1 2 Undefined
7 50 6 2 Undefined
7 50 5 1 Undefined
7 50 6 2 Undefined
7 50 1 2 Undefined
7 50 1 2 Undefined
7 50 1 2 False
7 50 5 1 Undefined
7 50 5 2 Undefined
7 50 4 2 Undefined
